nfeat_bond,r_cutoff,mse,rmse,mae,r2
10,6,0.02223575110847752,0.14911656885965932,0.24143088398166732,0.8734323750618905
10,7,0.01586331653941649,0.12594965875069486,0.24143088398166732,0.909704768314757
10,8,0.05580048722139152,0.23622126750441316,0.24143088398166732,0.6823792862428552
15,6,0.013398703461047773,0.11575276869711486,0.24143088398166732,0.9237335376690606
15,7,0.01634214891550395,0.12783641466931067,0.24143088398166732,0.9069792171836439
15,8,0.021601912080922124,0.1469758894544344,0.24143088398166732,0.8770402361104962
20,6,0.011300865338954674,0.10630552826149106,0.24143088398166732,0.935674595442311
20,7,0.008909704725823111,0.09439123225079282,0.24143088398166732,0.9492852676509161
20,8,0.07418271892628356,0.2723650471816888,0.24143088398166732,0.577746193499558
25,6,0.007844395614077444,0.08856859270688139,0.24143088398166732,0.9553490899810362
25,7,0.01050060984574087,0.10247248335890406,0.24143088398166732,0.9402297119583045
25,8,0.026853987313143285,0.1638718624814623,0.24143088398166732,0.847145015351119
30,6,0.0093295992378161,0.09658985059423221,0.24143088398166732,0.9468951954267655
30,7,0.01087789247016798,0.10429713548400062,0.24143088398166732,0.9380821899127844
30,8,0.1103031121088654,0.33211912337121663,0.24143088398166732,0.37214610584580265
